Type,Title,Link
Tutorials,Tutorial: Recent Advances in Deep Learning,https://escholarship.org/uc/item/1117f48f
Tutorials,"Methods for Reconstructing Causal Networks from Observed Time-Series:Granger-Causality, Transfer Entropy, and Convergent Cross-Mapping",https://escholarship.org/uc/item/26b004np
Tutorials,"Dynamic Field Theory: Conceptual Foundations and Applications in Cognitive and
Developmental Science",https://escholarship.org/uc/item/60b4h51d
Workshops,The Fine Art of Conversation,https://escholarship.org/uc/item/0tr7922f
Workshops,Bridging the Gap: Is Logic and Automated Reasoninga Foundation for Human Reasoning?,https://escholarship.org/uc/item/8v89n0dj
Workshops,"Citizen Science, Gamification, and Virtual Reality for Cognitive Research",https://escholarship.org/uc/item/7s45d81h
Workshops,Cooperative Social Intelligence:Understanding and Acting with Others,https://escholarship.org/uc/item/6rp3x4kj
Workshops,Building Bridges from (Ivory) Towers:Combining Academia and Industry for Cognitive Research,https://escholarship.org/uc/item/9nh4f5gv
Workshops,The Computational Foundations of Religious Cognition:A Workshop Hosted by the International Association for the Cognitive Science ofReligion (IACSR),https://escholarship.org/uc/item/3110w8sd
Workshops,Workshop proposal: Deep Learning in Computational Cognitive Science,https://escholarship.org/uc/item/348496wf
Symposia,Anthropological Contributions to Cognitive Science,https://escholarship.org/uc/item/2cx9p6gj
Symposia,"Static and dynamic visual narratives, by brain and by eye",https://escholarship.org/uc/item/95f9p8b5
Symposia,Game-XP: Action Games as Cognitive Science Paradigms,https://escholarship.org/uc/item/37x479m5
Symposia,Educating Spatial Thinking for STEM Success,https://escholarship.org/uc/item/7zx8q0jm
Symposia,Symposium on Problem Solving andGoal-Directed Sequential Activity,https://escholarship.org/uc/item/7fc5w0mp
Symposia,LUCID science: Advancing learning through human-machine cooperation.,https://escholarship.org/uc/item/9gk559hg
Symposia,Intuitive Biology and Global Challenges: Applying Theoretical Insightsfor Public Good,https://escholarship.org/uc/item/8cn825w7
Symposia,Time in the mind of a child: Perspectives on the development of temporal cognition,https://escholarship.org/uc/item/8ww394wt
Symposia,Big Data and Little Learners,https://escholarship.org/uc/item/0nj3c3d2
Talks: Papers,Burstiness across multimodal human interaction reveals differences betweenverbal and non-verbal communication,https://escholarship.org/uc/item/6941d6vk
Talks: Papers,Enactive Mechanistic Explanation of Social Cognition,https://escholarship.org/uc/item/2r95p6p8
