Type,Title,Link
Workshop,"Mental effort: One construct, many faces?",https://escholarship.org/uc/item/3f33p0sd
Workshop,"Cognition, Collectives, and Human Culture",https://escholarship.org/uc/item/9c0088n7
Workshop,commonsense reasoning; core knowledge; in-tuitive theories; machine learning,https://escholarship.org/uc/item/2367w9c4
Workshop,"How stories shape us, and how we shape stories",https://escholarship.org/uc/item/8hj2g7vx
Workshop,"From Efficient Coding to Information Gain:
Information-Theoretic Principles in Models of Human Decision Making",https://escholarship.org/uc/item/2x70m6kr
Workshop,Workshop on Scaling Cognitive Science,https://escholarship.org/uc/item/703840m1
Workshop,Making Science Accessible: A Co-design of Non-visual Representations for VisuallyImpaired Students,https://escholarship.org/uc/item/6kk6b669
Workshop,Practical Advice on How to Run Human Behavioral Studies,https://escholarship.org/uc/item/82h7191s
Workshop,Building neural processing accounts of higher cognition in Dynamic Field Theory,https://escholarship.org/uc/item/50s7b1nq
Choices and Decisions,Limits on Predictability of Risky Choice Behavior,https://escholarship.org/uc/item/6ch0v2rv
Choices and Decisions,What determines the learned predictiveness effect?Separating cue-outcome correlation from choice relevance,https://escholarship.org/uc/item/1zw807bh
Choices and Decisions,Exploration Decisions Precede and Improve Explicit Uncertainty Judgments inPreschoolers,https://escholarship.org/uc/item/92068201
Choices and Decisions,Prospect Theory and Optimal Risky Choices with Goals,https://escholarship.org/uc/item/6845g1g5
Choices and Decisions,Toward Unifying Cognitive Architecture and Neural Task Set Theories,https://escholarship.org/uc/item/8vh926jj
Neuroscience and Psychophysics,Adaptations of Executive Function and Prefrontal Cortex Connectivity FollowingExergame Play in 4- to 5-year old Children,https://escholarship.org/uc/item/1xz485tg
Neuroscience and Psychophysics,Dissociable systems for recognizing places and navigating through them:neuropsychological and developmental evidence,https://escholarship.org/uc/item/33p2n87q
Neuroscience and Psychophysics,Motor interference changes meaning,https://escholarship.org/uc/item/4f60k1f2
Neuroscience and Psychophysics,The “cognitive speed-bump”:How world champion Tetris players trade milliseconds for seconds,https://escholarship.org/uc/item/7gv9443c
Neuroscience and Psychophysics,Engaging with figurative language: insights from neuroimaging,https://escholarship.org/uc/item/4qz32947
Human Learning,Explanation Supports Hypothesis Generation in Learning,https://escholarship.org/uc/item/2s08t5ck
Human Learning,Analogical Transfer and Recognition Memory in Relational Classification Learning,https://escholarship.org/uc/item/94z9c8r1
Human Learning,Learning to build physical structures better over time,https://escholarship.org/uc/item/6k61n95b
Human Learning,Effects of “chained” study on spontaneous relational discovery,https://escholarship.org/uc/item/4fv6c79s
Human Learning,How a-priori biases affect sequence learning in a serial reaction time task,https://escholarship.org/uc/item/8866617c
Semantics,Systematicity in a Recurrent Neural Network by Factorizing Syntax andSemantics,https://escholarship.org/uc/item/3c0462ph
Semantics,Distinguishing Fact from Opinion: Effects of Linguistic Packaging,https://escholarship.org/uc/item/7rb7q1hb
