Type,Title,Link
Workshops,"Active learning: Cognitive development, education, and computational models",https://escholarship.org/uc/item/7g5039n2
Workshops,Learning to Talk about EventsGrounding Language Acquisition in Intuitive Theories and Event Cognition,https://escholarship.org/uc/item/6mp895m3
Workshops,Proposal of the Second Workshop on Physical and Social Scene Understanding,https://escholarship.org/uc/item/36t7j6t4
Workshops,Tutorial Workshop on Contemporary Deep Neural Network Models,https://escholarship.org/uc/item/15n9q0dm
Workshops,"Workshop on Corpus Collection, (Semi)-Automated Analysis, and Modeling ofLarge-Scale Naturalistic Language Acquisition Data",https://escholarship.org/uc/item/1gn950dk
Workshops,"Interactive spatiotemporal cognition:Data, theories, architectures, and autonomy",https://escholarship.org/uc/item/4gr5q2g6
Tutorials,Full Day Tutorial on Quantum Models of Cognition and Decision,https://escholarship.org/uc/item/1xz2s02n
Tutorials,Wallace: Automating Cultural Evolution Experiments Through Crowdsourcing,https://escholarship.org/uc/item/49s1r0kd
Tutorials,Analysing discourse relations in natural language:The case of space and time,https://escholarship.org/uc/item/4pc0h3pp
Tutorials,Cognitive Models of Transfer of Cognitive Skill (full day),https://escholarship.org/uc/item/9574x4pg
Tutorials,Tutorial: Meta-Analytic Methods for Cognitive Science,https://escholarship.org/uc/item/7b40w1sr
Symposia,Empirical and Computational Approaches to Metaphor and Figurative Meaning,https://escholarship.org/uc/item/5w75v5dk
Symposia,Comics and cognitive systems: The processing of visual narratives,https://escholarship.org/uc/item/1wk0t3vw
Symposia,Effecting re-representation: revising false beliefs and fostering creativity,https://escholarship.org/uc/item/86z2t72k
Symposia,The Emergence of Conventions,https://escholarship.org/uc/item/8xj3p8xq
Symposia,The cultural evolution of cognition,https://escholarship.org/uc/item/2z47d9ws
Symposia,Brain Science and Education: Is it Still a Bridge Too Far?,https://escholarship.org/uc/item/1xp0508s
Symposia,"Research at the Interface of Cognition, Education, and Disciplinary Science",https://escholarship.org/uc/item/06t4t99v
Symposia,Beyond the language explosion: What gradual word learning tells us aboutconceptual development,https://escholarship.org/uc/item/13p8r7qf
Symposia,"Aligning implicit learning and statistical learning:
Two approaches, one phenomenon",https://escholarship.org/uc/item/8cx2j2bx
Symposia,Higher-Level Goals in the Processing of Human Action Events,https://escholarship.org/uc/item/1jb7b59v
Symposia,Concepts from Event Semantics in Cognition,https://escholarship.org/uc/item/4ng118s5
Papers,Investigating the Effects of Transparency and Ambiguity on Idiom Learning,https://escholarship.org/uc/item/2357n5j9
Papers,"Explaining December 4, 2015:Cognitive Science Ripped from the Headlines",https://escholarship.org/uc/item/36s3p5kj
Papers,"Modeling category learning using a dual-system approach: A simulation ofShepard, Hovland and Jenkins (1961) by COVIS",https://escholarship.org/uc/item/4mw2v9rg
Papers,"Using Prior Data to Inform Model Parameters
in the Predictive Performance Equation",https://escholarship.org/uc/item/1hn733kx
Papers,Using Statistics to Learn Words and Grammatical Categories:How High Frequency Words Assist Language Acquisition,https://escholarship.org/uc/item/0ds574kz
Papers,Modeling Impairments in Lexical Development,https://escholarship.org/uc/item/2mm74411
Papers,Monolinguals’ and Bilinguals’ Use of Language in Forming Novel Object Categories,https://escholarship.org/uc/item/7484163g
Papers,"Learning How To Throw Darts
The Effect Of Modeling Type And Reflection On Dart-Throwing Skills",https://escholarship.org/uc/item/8294c6vr
Papers,On the Tragedy of Personnel Evaluation,https://escholarship.org/uc/item/9267v4c3
Papers,"Are we ON the same page?
Monolingual and bilingual acquisition of familiar and novel relational language",https://escholarship.org/uc/item/5hn767j9
Papers,Dissociable effects of cue validity on bias formation and reversal,https://escholarship.org/uc/item/5zc4971q
Papers,Effects of experience in a developmental model of reading,https://escholarship.org/uc/item/21m9z3tf
Papers,"Differentiating between Encoding and Processing during Diagnostic Reasoning: An
Eye tracking study.",https://escholarship.org/uc/item/1zq5m7rp
Papers,Young children and adults integrate past expectations and current outcomes toreason about others’ emotions,https://escholarship.org/uc/item/2hf2059r
Papers,Language does not explain the wine-specific memory advantage of wine experts,https://escholarship.org/uc/item/58d7w9hm
Papers,Sub-Categorical Properties of Stimuli Determine the Category-Order Effect,https://escholarship.org/uc/item/3zt1v422
Papers,Causal Learning With Continuous Variables Over Time,https://escholarship.org/uc/item/51g694v6
Papers,Viewing time affects overspecification:Evidence for two strategies of attribute selection during reference production,https://escholarship.org/uc/item/34x1d0qc
Papers,Trump supported it?! A Bayesian source credibility model applied to appeals tospecific American presidential candidates’ opinions,https://escholarship.org/uc/item/9v8245cs
Papers,Expressive faces are remembered with less pictorial fidelity than neutral faces,https://escholarship.org/uc/item/1c4022hv
Papers,"Three barriers to effective thought experiments, as revealed by a system thatexternalizes students’ thinking",https://escholarship.org/uc/item/8bw9q45p
Papers,"Mind reading: Discovering individual preferences from eye movements using
switching hidden Markov models",https://escholarship.org/uc/item/27c7n6vv
Papers,Semantic Contamination of Visual Similarity Judgments,https://escholarship.org/uc/item/1b86z174
Papers,Human Reinforcement Learning of Sequential Action,https://escholarship.org/uc/item/81n806mm
Papers,The Role of the Prefrontal Cortex in Inductive Reasoning: An fNIRS Study,https://escholarship.org/uc/item/5x59f8h1
Papers,The Emergence of Linguistic Consciousness and the ‘hard problem’,https://escholarship.org/uc/item/9zn4p150
Papers,An Empirical Evaluation of Models for How People Learn Cue Search Orders,https://escholarship.org/uc/item/7620g4mb
Papers,A Deep Siamese Neural Network Learns the Human-Perceived SimilarityStructure of Facial Expressions Without Explicit Categories,https://escholarship.org/uc/item/6n45n1cf
Papers,On the adaptive nature of memory-based false belief,https://escholarship.org/uc/item/9q85s2n1
Papers,"Causal Action: A Fundamental Constraint
on Perception of Bodily Movements",https://escholarship.org/uc/item/7mj5q8bg
Papers,A Computational Exploration of Problem-Solving Strategies and Gaze Behaviorson the Block Design Task,https://escholarship.org/uc/item/9xw093cn
Papers,Preferring the Mighty to the Meek: Toddlers Prefer Novel Dominant Agents.,https://escholarship.org/uc/item/559808b1
Papers,Unifying Conflicting Perspectives in Group Activities:Roles of Minority Individuals,https://escholarship.org/uc/item/1sz963d1
Papers,Blink durations reflect mind wandering during reading,https://escholarship.org/uc/item/4vw7t6v4
Papers,The Influence of Reputation Concerns and Social Biases on Children’s SharingBehavior,https://escholarship.org/uc/item/9fr3m0j5
Papers,Are There Hidden Costs to Teaching Mathematics with Incorrect Examples?,https://escholarship.org/uc/item/0bf0495j
Papers,"Interaction of Instructional Material Order and Subgoal Labels on Learning in
Programming",https://escholarship.org/uc/item/6kg6135z
Papers,No Effect of Verbal Labels for the Shapes on Type II Categorization Tasks,https://escholarship.org/uc/item/24z0r4wh
Papers,Context-dependent Processes and Engagement in Reading Literature,https://escholarship.org/uc/item/8cc6b8m9
Papers,Effects of Working Memory Training on L2 Proficiency andWorking Memory Capacity,https://escholarship.org/uc/item/2g2111cf
Papers,Representation: Problems and Solutions,https://escholarship.org/uc/item/4t04p3jf
Papers,Lasting Political Attitude Change Induced by False Feedback About Own SurveyResponses,https://escholarship.org/uc/item/6h13g2pf
Papers,How should autonomous vehicles behave in moral dilemmas? Humanjudgments reflect abstract moral principles,https://escholarship.org/uc/item/1tk4p6w9
Papers,Examining Search Processes in Low and High Creative Individuals with RandomWalks,https://escholarship.org/uc/item/02p112km
Papers,Determining the alternatives for scalar implicature,https://escholarship.org/uc/item/2vj6q5r5
Papers,"The Role of Similarity in Constructive Memory: Evidence from Tasks with
Children and Adults",https://escholarship.org/uc/item/2g17f12c
Papers,Dual process theory of reasoning and recognition memory errors:Individual differences in a memory prose task,https://escholarship.org/uc/item/8r43v8m4
Papers,A neurocomputational model of the effect of learned labels on infants’ objectrepresentations,https://escholarship.org/uc/item/4pb869ds
Papers,A neural network model of hierarchical category development,https://escholarship.org/uc/item/64d3p4vv
Papers,Improving Visual Memory with Auditory Input,https://escholarship.org/uc/item/89z2r360
Papers,Measuring lay theories of parenting and child development,https://escholarship.org/uc/item/8gg206fq
Papers,Emotions in lay explanations of behavior,https://escholarship.org/uc/item/4hr6b5f0
Papers,But vs. Although under the microscope,https://escholarship.org/uc/item/99k3w1f0
Papers,Tangible models and haptic representations aid learning of molecular biology,https://escholarship.org/uc/item/50n352f6
Papers,Structure-sensitive Noise Inference: Comprehenders Expect Exchange Errors,https://escholarship.org/uc/item/7vx580zr
Papers,No stereotype threat effect in international chess,https://escholarship.org/uc/item/1kn7h2d1
Papers,"‘Unlikely’ Outcomes Might Never Occur, But What About
‘Unlikely (20% Chance)’ Outcomes?",https://escholarship.org/uc/item/8wk139ct
Papers,Visual Statistical Learning Deficits in Children with Developmental Dyslexia:an Event Related Potential Study,https://escholarship.org/uc/item/8nr1m78m
Papers,The St. Petersburg Paradox: A Subjective Probability Solution,https://escholarship.org/uc/item/7890m30v
Papers,A test of two models of probability judgment: quantum versus noisy probability,https://escholarship.org/uc/item/1w83n9nr
Papers,Influence of 3D images and 3D-printed objects on spatial reasoning,https://escholarship.org/uc/item/43m748t7
Papers,"Making it Right: Can the Right-Hemisphere Compensate for Language Function in
Patients with Left-Frontal Brain Tumors?",https://escholarship.org/uc/item/3c39353s
Papers,Spatial Meaning is Retained in Emotion Metaphors: Some Evidence from Spanish,https://escholarship.org/uc/item/0896n643
Papers,"Explanatory Judgment, Probability, and Abductive Inference",https://escholarship.org/uc/item/02p839fc
Papers,The impact of biased hypothesis generation on self-directed learning,https://escholarship.org/uc/item/0bw050s2
Papers,Representing Sequence: The Influence of Timeline Axis and Directionon Causal Reasoning in Litigation Law,https://escholarship.org/uc/item/73r7w6hd
Papers,Attractivity Weighting: Take-the-Best’s Foolproof Sibling,https://escholarship.org/uc/item/45j8w37c
Papers,A Perception-Based Threshold for Bidirectional Texture Functions,https://escholarship.org/uc/item/9w80j8xj
Papers,Influencing Categorical Choices Through Physical Object Interaction,https://escholarship.org/uc/item/9db1k90w
Papers,Dynamics of Strategy Adaptation in a Temporally Extended Monty Hall Dilemma,https://escholarship.org/uc/item/6k621428
Papers,Causal Contrasts Promote Algebra Problem Solving,https://escholarship.org/uc/item/8xm6c55v
Papers,A connectionist model for automatic generation of child-adult interaction patterns,https://escholarship.org/uc/item/4wf2k0rb
Papers,Connections between ACT-R’s declarative memory system and Minerva2,https://escholarship.org/uc/item/4k59f7kf
Papers,"Distributed Cognition in the Past Progressive: Narratives as Representational Tools
for Clinical Reasoning",https://escholarship.org/uc/item/6ms4t78x
Papers,Predicting Overprecision in Range Estimation,https://escholarship.org/uc/item/33m534nb
Papers,A Dynamic Neural Field Model of Speech Cue Compensation,https://escholarship.org/uc/item/7pp5359f
Papers,The face-space duality hypothesis: a computational model,https://escholarship.org/uc/item/49t3p1zp
Papers,Fuse to be used: A weak cue’s guide to attracting attention,https://escholarship.org/uc/item/64x4x9ms
Papers,Stereotype-Based Intuitions: A Psycholinguistic Approach to ExperimentalPhilosophy’s ‘Sources Project’,https://escholarship.org/uc/item/8nr3b4hr
Papers,"Mechanisms for storing and accessing event representations in episodic memory,and their expression in language: a neural network model",https://escholarship.org/uc/item/1210j5nn
Papers,What Makes You Feel You Are Learning: Cues to Self-Regulated Learning,https://escholarship.org/uc/item/36d8h6tw
Papers,A Tale of Two Disasters: Biases in Risk Communication,https://escholarship.org/uc/item/5mv5t7j9
Papers,Individual Differences in Pupil Dilation during Naming Task,https://escholarship.org/uc/item/373558mh
Papers,Modeling Commonsense Reasoning via Analogical Chaining: A Preliminary Report,https://escholarship.org/uc/item/2fw981j5
Papers,Social Cues Modulate Cognitive Status of Discourse Referents,https://escholarship.org/uc/item/9fd5398n
Papers,Hysteresis in Processing of Perceptual Ambiguity on Three DifferentTimescales,https://escholarship.org/uc/item/62s8w33t
Papers,Critical Features of Joint Actions that Signal Human Interaction,https://escholarship.org/uc/item/10s2k81t
Papers,Visual constraints modulate stereotypical predictability of agents during situatedlanguage comprehension,https://escholarship.org/uc/item/0x25x396
Papers,Biases and Benefits of Number Lines and Pie Charts in Proportion Representation,https://escholarship.org/uc/item/0nq616m7
Papers,Exploring the Relationship between Adolescents’Interest in Algebra and Procedural Declines,https://escholarship.org/uc/item/5rk7m4jt
Papers,Factors Influencing Categorization Strategy in Visual Category Learning,https://escholarship.org/uc/item/44p0j9sw
Papers,Simulating Developmental Changes in Noun Richness throughPerformance-limited Distributional Analysis,https://escholarship.org/uc/item/77n3b86j
