Type,Title,Link
Workshops,"Heuristics, hacks, and habits:Boundedly optimal approaches to learning, reasoning and decision making",https://escholarship.org/uc/item/6h58b402
Workshops,"Guided Playful Learning: Developmental, Computational, and EducationalPerspectives",https://escholarship.org/uc/item/27f7n89n
Workshops,Using replication studies to teach research methods in cognitive science,https://escholarship.org/uc/item/07w8v01b
Workshops,Measuring Creativity - Workshop Proposal,https://escholarship.org/uc/item/80c6p8hw
Workshops,Predicting Individual Human Reasoning: The PRECORE-Challenge,https://escholarship.org/uc/item/03c9z7r2
Workshops,Everyday Activities,https://escholarship.org/uc/item/1qc165pb
Workshops,Beyond the Ivory Tower: Non-Academic Career Paths for Cognitive Scientists,https://escholarship.org/uc/item/9qd7k6qg
Tutorials,Daylong data: Raw audio to transcript via automated & manual open-science tools,https://escholarship.org/uc/item/5th3j0bz
Tutorials,EMHMM: Eye Movement Analysis with Hidden Markov Models and ItsApplications in Cognitive Research,https://escholarship.org/uc/item/8658z8qd
Tutorials,Optimizing the Design of an Experiment using the ADOpy Package:An Introduction and Tutorial,https://escholarship.org/uc/item/99q0r3wt
Tutorials,Full Day Tutorial on Quantum Theory in Cognitive Modeling,https://escholarship.org/uc/item/4jp8r6mg
Symposia,Individual Differences in Spatial Representations and Wayfinding,https://escholarship.org/uc/item/7s09177h
Symposia,"Mechanisms of Differences in Cognitive Mapping and Navigational Ability:
Explorations Using Virtual Reality Manipulations",https://escholarship.org/uc/item/5861k8zt
Symposia,A Meta-analysis of Sex Differences in Human Navigation Skills,https://escholarship.org/uc/item/9mf1t6x8
Symposia,"Measuring Spatial Perspective Taking:
Analysis of Four Measures using Item Response Theory",https://escholarship.org/uc/item/9br3b8cq
Symposia,Genetics and Experience Modulate Individual Differences in Navigation,https://escholarship.org/uc/item/7dk1h1rw
Symposia,What makes a good explanation?Cognitive dimensions of explaining intelligent machines,https://escholarship.org/uc/item/7qd3c6rh
Symposia,How Does Current AI Stack Up Against Human Intelligence?,https://escholarship.org/uc/item/3f2352cg
Symposia,In Vivo Studies of Solo and Team Performance,https://escholarship.org/uc/item/5gc7v1qc
Symposia,Cognitive Network Science: Quantitatively Investigating the Complexity ofCognition,https://escholarship.org/uc/item/5km646jd
Symposia,"Symposium in Memory of Jeff Elman: Language Learning, Prediction, andTemporal Dynamics",https://escholarship.org/uc/item/5k61f6rn
Symposia,"Understanding interactions amongst cognitive control, learning and representation",https://escholarship.org/uc/item/1dk0g95w
Symposia,"Beyond number: Towards a unified view of dimensional reasoningin perception, cognition, and language",https://escholarship.org/uc/item/7c08c0dz
Symposia,Extending Rationality,https://escholarship.org/uc/item/80z566tk
Symposia,Insight and the Genesis of New Ideas,https://escholarship.org/uc/item/1tb336nk
Publication-based Talks,Logicist Computational Cognitive Modeling of Infinitary False Belief Tasks,https://escholarship.org/uc/item/0f5833v2
Publication-based Talks,"PUBLICATION-BASED PRESENTATION: Modeling
Human Creative Cognition using AI Techniques",https://escholarship.org/uc/item/2hv483j3
Publication-based Talks,A Cultural Evolution Framework for Human Creativity,https://escholarship.org/uc/item/2ft6w0mq
Publication-based Talks,From Design Cognition to Design Neurocognition,https://escholarship.org/uc/item/6z42017c
Publication-based Talks,Towards emotion based music generation: A tonal tension modelbased on the spiral array,https://escholarship.org/uc/item/1503n3d5
Publication-based Talks,"Cognitive Chrono-Ethnography (CCE): A Behavioral Study MethodologyUnderpinned by the Cognitive Architecture, MHP/RT",https://escholarship.org/uc/item/6h40q7gm
Publication-based Talks,"Warning: The Exemplars in Your Category Representation May Not Be the Ones
Experienced During Learning",https://escholarship.org/uc/item/4w2311g6
Publication-based Talks,Concept Learning with Energy-Based Models,https://escholarship.org/uc/item/4bf0d0jn
Publication-based Talks,On the nature of creative processes: performativity as a missing algorithm,https://escholarship.org/uc/item/8f7125g8
Publication-based Talks,Why sociality affects creativity: lessons from autism,https://escholarship.org/uc/item/1rr860gb
Publication-based Talks,Language and event recall in memory for time,https://escholarship.org/uc/item/5m06p39h
Publication-based Talks,Evolution and efficiency in color naming: The case of Nafaanra,https://escholarship.org/uc/item/1q01093g
Papers with Oral Presentations,Evaluating Theories of Collaborative CognitionUsing the Hawkes Process and a Large Naturalistic Data Set,https://escholarship.org/uc/item/6z6552mt
Papers with Oral Presentations,Measuring Programming Competence byAssessing Chunk Structures in a Code Transcription Task,https://escholarship.org/uc/item/0v08f2g9
Papers with Oral Presentations,The Role of Information in Visual Word Recognition:A Perceptually-Constrained Connectionist Account,https://escholarship.org/uc/item/8g33n2b8
Papers with Oral Presentations,Rapid Trial-and-Error Learning in Physical Problem Solving,https://escholarship.org/uc/item/7gg6566t
Papers with Oral Presentations,Self-Organized Division of Cognitive Labor,https://escholarship.org/uc/item/3zg3586c
Papers with Oral Presentations,"A friend or a toy? Four-year-olds strategically demonstrate their competence
to a puppet but only when others treat it as an agent",https://escholarship.org/uc/item/24j957nk
Papers with Oral Presentations,Modifying social dimensions of human faces with ModifAE,https://escholarship.org/uc/item/0589b5fs
Papers with Oral Presentations,Comparing Gated and Simple Recurrent Neural Network Architectures as Modelsof Human Sentence Processing,https://escholarship.org/uc/item/0br7f339
Papers with Oral Presentations,"(In-)definites, (anti-)uniqueness, and uniqueness expectations",https://escholarship.org/uc/item/00d242wq
Papers with Oral Presentations,Fanning Creative Thought: Semantic Richness Impacts Divergent Thinking,https://escholarship.org/uc/item/40p1s98s
Papers with Oral Presentations,Relative Evaluation of Location:How Spatial Frames of Reference Affect What We Value,https://escholarship.org/uc/item/7dq5g8zv
Papers with Oral Presentations,Building Individual Semantic Networks and Exploring their Relationships withCreativity,https://escholarship.org/uc/item/90z4k8b0
Papers with Oral Presentations,The Importance of Morally Satisfying Endings: Cognitive Influences on Storytellingin Gillian Flynn’s Gone Girl,https://escholarship.org/uc/item/4tj9p7gn
Papers with Oral Presentations,Integrating Common Ground and Informativeness in Pragmatic Word Learning,https://escholarship.org/uc/item/69v4v60b
Papers with Oral Presentations,"Conversation Transition Times:
Working Memory & Conversational Alignment",https://escholarship.org/uc/item/98w3t6b4
Papers with Oral Presentations,"An Insight into Language: Investigating Lexical and Morphological Effects in
Compound Remote Associate Problem Solving",https://escholarship.org/uc/item/6d03n6dn
Papers with Oral Presentations,Efficiency and Flexibility of Individual Multitasking Strategies - Influence ofBetween-Task Resource Competition,https://escholarship.org/uc/item/00g565nv
Papers with Oral Presentations,How Real is Moral Contagion in Online Social Networks?,https://escholarship.org/uc/item/990923xv
Papers with Oral Presentations,Politically Motivated Causal Evaluations of Economic Performance,https://escholarship.org/uc/item/8fg0p757
Papers with Oral Presentations,Speech Processing does not Involve Acoustic Maintenance,https://escholarship.org/uc/item/83n614k5
Papers with Oral Presentations,Natural concepts” revisited in the spatial-topological domain:Universal tendencies in focal spatial relations,https://escholarship.org/uc/item/7tq511sd
Papers with Oral Presentations,The shape of language experience in two traditional communities,https://escholarship.org/uc/item/9pg51948
Papers with Oral Presentations,The Role of Basal Ganglia Reinforcement Learning in Lexical Priming andAutomatic Semantic Ambiguity Resolution,https://escholarship.org/uc/item/6r8632cr
Papers with Oral Presentations,Environmental effects on parental gesture and infant word learning,https://escholarship.org/uc/item/33f5v4jp
Papers with Oral Presentations,Task Goals Structure Conceptual Acquisition,https://escholarship.org/uc/item/60w3h4g1
Papers with Oral Presentations,The First Crank of the Cultural Ratchet:Learning and Transmitting Concepts through Language,https://escholarship.org/uc/item/39d347bk
Papers with Oral Presentations,Generating normative predictions with a variable-length rate code,https://escholarship.org/uc/item/7v919486
Papers with Oral Presentations,The everyday statistics of objects and their names: How word learning gets its start,https://escholarship.org/uc/item/6hc8s9qn
Papers with Oral Presentations,"Frequency Effects in Decision-Making are Predicted by Dirichlet Probability
Distribution Models",https://escholarship.org/uc/item/3w97p2bq
Papers with Oral Presentations,"Differences in learnability of pantomime versus artificial sign: Iconicity, culturalevolution, and linguistic structure",https://escholarship.org/uc/item/48r6q2td
Papers with Oral Presentations,"Contextualizing Conversational Strategies: Backchannel, Repair and LinguisticAlignment in Spontaneous and Task-Oriented Conversations",https://escholarship.org/uc/item/6656h1gv
Papers with Oral Presentations,The Goal Bias in Language and Memory: Explaining the Asymmetry,https://escholarship.org/uc/item/0rj0d760
Papers with Oral Presentations,A rational model of word skipping in reading: ideal integration of visual andlinguistic information,https://escholarship.org/uc/item/1z03w8r1
Papers with Oral Presentations,"If it’s important, then I am curious: A value intervention to induce curiosity",https://escholarship.org/uc/item/5s82c3f6
Papers with Oral Presentations,A New Probabilistic Explanation of the Modus Ponens–Modus Tollens Asymmetry,https://escholarship.org/uc/item/0775b50h
Papers with Oral Presentations,Children’s overextension as communication by multimodal chaining,https://escholarship.org/uc/item/0g06w9b7
Papers with Oral Presentations,Do Children Ascribe the Ability to Choose to Humanoid Robots?,https://escholarship.org/uc/item/7jr8x5rs
Papers with Oral Presentations,"Children, more than adults, rely on similarity to accessmultiple meanings of words",https://escholarship.org/uc/item/76n241r4
Papers with Oral Presentations,Metaphors we teach by: A method for mapping metaphorical lay theories,https://escholarship.org/uc/item/8t03j1x9
Papers with Oral Presentations,Phoneme learning is influenced by the taxonomic organizationof the semantic referents,https://escholarship.org/uc/item/5hr6w7b3
Papers with Oral Presentations,When Graph Comprehension Is An Insight Problem,https://escholarship.org/uc/item/15c7s0mg
Papers with Oral Presentations,The interaction between structure and meaning in sentence comprehension:Recurrent neural networks and reading times,https://escholarship.org/uc/item/41v0w9z5
Papers with Oral Presentations,Subjectivity-based adjective ordering maximizes communicative success,https://escholarship.org/uc/item/1kh6t6ch
Papers with Oral Presentations,"Simulating Explanatory Coexistence:Integrated, Synthetic, and Target-Dependent Reasoning",https://escholarship.org/uc/item/7k97m6jd
Papers with Oral Presentations,Stereotypes of Transgender Categories: Attributes and Lay Theories,https://escholarship.org/uc/item/9nz4x8b1
Papers with Oral Presentations,Incorrect Guesses Boost Retention of Novel Words in Adults but not in Children,https://escholarship.org/uc/item/7bv3g5qd
Papers with Oral Presentations,Sleep Does not Help Relearning Declarative Memories in Older Adults,https://escholarship.org/uc/item/8d08w6dd
Papers with Oral Presentations,"At the Zebra Crossing: Modelling Complex Decision Processes with Variable-Drift
Diffusion Models",https://escholarship.org/uc/item/95p445vm
Papers with Oral Presentations,Evidence of error-driven cross-situational word learning,https://escholarship.org/uc/item/7433c1bp
Papers with Oral Presentations,A comprehensive examination of preschoolers’ probabilistic reasoning abilities,https://escholarship.org/uc/item/4146p684
Papers with Oral Presentations,Looking Patterns during Analogical Reasoning: Generalizable or Task-Specific?,https://escholarship.org/uc/item/8hm0n8dw
